vendor,query_date,period_start,period_end,load_kwh,solar_pv_kwh,battery_kwh,grid_kwh,device_id
foxess,2025-10-02,2025-10-02T00:00:00,2025-10-02T00:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T00:30:00,2025-10-02T01:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:00:00,2025-10-02T01:30:00,0.082994,0.0,-0.097302,0.001859,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:30:00,2025-10-02T02:00:00,0.110079,0.0,-0.125835,0.004237,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:00:00,2025-10-02T02:30:00,0.132202,0.0,-0.150042,0.002346,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:30:00,2025-10-02T03:00:00,0.136987,0.0,-0.155314,0.001827,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:00:00,2025-10-02T03:30:00,0.143069,0.0,-0.160116,0.004126,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:30:00,2025-10-02T04:00:00,0.117185,0.0,1.206082,1.385391,foxess-sample-device
foxess,2025-10-02,2025-10-02T04:00:00,2025-10-02T04:30:00,0.098052,0.0,0.123739,0.249424,foxess-sample-device
foxess,2025-10-02,2025-10-02T04:30:00,2025-10-02T05:00:00,0.121291,0.0,-0.138612,0.002917,foxess-sample-device
foxess,2025-10-02,2025-10-02T05:00:00,2025-10-02T05:30:00,0.114785,0.0,-0.133309,0.001667,foxess-sample-device
foxess,2025-10-02,2025-10-02T05:30:00,2025-10-02T06:00:00,0.122446,0.0,-0.139844,0.002738,foxess-sample-device
foxess,2025-10-02,2025-10-02T06:00:00,2025-10-02T06:30:00,0.223052,0.0,-0.238897,0.007589,foxess-sample-device
foxess,2025-10-02,2025-10-02T06:30:00,2025-10-02T07:00:00,0.133354,0.0,-0.149527,0.003654,foxess-sample-device
foxess,2025-10-02,2025-10-02T07:00:00,2025-10-02T07:30:00,0.236532,0.0,-0.255676,0.002514,foxess-sample-device
foxess,2025-10-02,2025-10-02T07:30:00,2025-10-02T08:00:00,0.146793,0.023695,-0.130993,-0.000128,foxess-sample-device
foxess,2025-10-02,2025-10-02T08:00:00,2025-10-02T08:30:00,0.150139,0.081804,-0.066667,0.002579,foxess-sample-device
foxess,2025-10-02,2025-10-02T08:30:00,2025-10-02T09:00:00,0.148344,0.097403,-0.053037,0.003345,foxess-sample-device
foxess,2025-10-02,2025-10-02T09:00:00,2025-10-02T09:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T09:30:00,2025-10-02T10:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T10:00:00,2025-10-02T10:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T10:30:00,2025-10-02T11:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T11:00:00,2025-10-02T11:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T11:30:00,2025-10-02T12:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T12:00:00,2025-10-02T12:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T12:30:00,2025-10-02T13:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T13:00:00,2025-10-02T13:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T13:30:00,2025-10-02T14:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T14:00:00,2025-10-02T14:30:00,0.0,0.0,0.0,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T14:30:00,2025-10-02T15:00:00,0.0,0.0,0.0,0.0,foxess-sample-device
