vendor,query_date,timestamp,load_kw,solar_pv_kw,battery_kw,grid_kw,device_id
foxess,2025-10-02,2025-10-02T01:04:37+01:00,0.188,0.0,-0.221,0.006,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:09:37+01:00,0.181,0.0,-0.218,0.001,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:14:37+01:00,0.182,0.0,-0.212,0.008,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:19:37+01:00,0.199,0.0,-0.233,0.002,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:24:37+01:00,0.226,0.0,-0.262,0.004,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:29:37+01:00,0.26,0.0,-0.282,0.017,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:34:37+01:00,0.283,0.0,-0.309,0.016,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:39:37+01:00,0.216,0.0,-0.252,0.004,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:44:37+01:00,0.224,0.0,-0.257,0.007,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:49:37+01:00,0.174,0.0,-0.212,0.002,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:54:37+01:00,0.171,0.0,-0.204,0.006,foxess-sample-device
foxess,2025-10-02,2025-10-02T01:59:37+01:00,0.168,0.0,-0.204,0.002,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:04:37+01:00,0.176,0.0,-0.213,0.004,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:09:37+01:00,0.333,0.0,-0.363,0.011,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:14:37+01:00,0.289,0.0,-0.329,0.002,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:19:37+01:00,0.289,0.0,-0.32,0.008,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:24:37+01:00,0.322,0.0,-0.362,0.001,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:29:37+01:00,0.291,0.0,-0.328,0.004,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:34:37+01:00,0.245,0.0,-0.279,0.005,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:39:38+01:00,0.236,0.0,-0.276,0.0,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:44:38+01:00,0.245,0.0,-0.281,0.005,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:49:38+01:00,0.335,0.0,-0.373,0.001,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:54:38+01:00,0.292,0.0,-0.327,0.007,foxess-sample-device
foxess,2025-10-02,2025-10-02T02:59:38+01:00,0.291,0.0,-0.327,0.003,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:04:38+01:00,0.295,0.0,-0.329,0.01,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:09:38+01:00,0.294,0.0,-0.324,0.011,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:14:38+01:00,0.316,0.0,-0.355,0.004,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:19:38+01:00,0.243,0.0,-0.278,0.008,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:24:38+01:00,0.279,0.0,-0.31,0.013,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:29:38+01:00,0.275,0.0,-0.305,0.01,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:34:38+01:00,0.244,0.0,2.901,3.283,foxess-sample-device
foxess,2025-10-02,2025-10-02T03:39:38+01:00,0.235,0.0,2.907,3.282,foxess-sample-device
